Country,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Tuvalu,7.90386297188581,1.81467167715323,2.87584751386873,1.25271621034332,8.34353517280346
Tanzania,3.0275004785058,3.71677119545821,3.64371830176266,2.35508345813247,2.71933648559543
Uganda,1.57225486342148,1.01851489431277,-0.670054581381933,2.41677913677158,2.73474072805178
Ukraine,-9.44383110963591,2.85479785845692,2.810645078612,4.0163856007363,3.79371893400872
Upper middle income,3.47341274372086,3.44695224620548,4.40723505183702,4.23532085130689,3.52685527882213
Uruguay,0.0302704170296124,1.32968121444294,1.25792913208215,0.109558005853614,-0.0101989840723036
United States,2.31944145566627,0.977012681566976,1.68732140604138,2.45567919884604,1.69701129870931
Uzbekistan,5.36481697232252,4.10607276057955,2.6524847322477,3.54079676338269,3.74451756655768
St. Vincent and the Grenadines,1.08354784725813,1.58954170350691,0.669624012432067,1.80377924585939,0.185859074429359
"Venezuela, RB",,,,,
British Virgin Islands,,,,,
Virgin Islands (U.S.),-0.26792231561096,1.78607056891147,-0.517853882355141,1.85313503226421,2.53167435595158
Vietnam,5.57052594829395,5.11813729007686,5.7280884115717,6.01639837930368,6.00103665097893
Vanuatu,-2.30866935730764,1.9812444428333,3.64448510922514,0.377254096136937,1.41522700357308
World,1.96320390846685,1.63703698333157,2.21716481148262,2.13854609534094,1.52032777115821
Samoa,3.60160415801118,7.55377049599575,0.619350401445942,-1.62092175286475,3.86876461636214
Kosovo,7.37186722717121,6.20362255572238,4.03870892350164,3.05666474089918,5.23743315853207
"Yemen, Rep.",-29.8271446402656,-11.6111372548828,-7.34518042867448,-1.5945638098916,
South Africa,-0.218801180743498,-0.806311266588793,-0.265300653069517,0.113021477550987,-1.19609144119572
Zambia,-0.187950012505681,0.706659429492106,0.494085597516801,1.04803356100132,-1.45136446466172
Zimbabwe,0.100575480569987,-0.793105404843814,3.1924525709815,3.35616607123501,-7.46862686012715
