Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Low & middle income,4371.28674855791,4339.34795111054,4705.59640637953,4933.13729085761,4999.98527614078,3.04162003575127,3.27951523027204,3.83124272204994,3.54281967394898,2.75602607498135
Lesotho,1146.06468787308,1018.93109291945,1102.94441037887,1192.4843195181,1113.37214033581,2.3480698139272,2.78812909073667,-3.90564187261468,-2.00999694354861,-1.17546799781275
Late-demographic dividend,8188.25683700919,8156.79115842886,8992.62476862399,9805.56754674728,9945.17244404346,3.995126102813,3.77762601031573,4.61279723757546,4.81957629222059,4.22624742152615
Lithuania,14258.2293345128,14998.1250595137,16843.699654691,19176.812150505,19575.768481407,2.98891297061452,3.82984126408542,5.75104655735379,4.99035385554106,4.85094975391134
Luxembourg,105419.608507426,106826.726448542,109921.031443585,117197.48169363,113218.713349678,-0.115476305532894,2.73979180152419,-1.11611296239622,0.0557319419873323,1.27627264670255
Latvia,13780.9135484006,14322.0226779514,15656.3474910518,17856.3071171976,17926.841589919,4.7389479157399,3.30741996501406,4.2327345755706,4.80286694592556,3.19932008209607
"Macao SAR, China",74818.948126372,73545.758237307,81019.4737666593,87526.0799912635,86197.3656943949,-23.0634149570273,-2.41812753264641,8.26007312117713,4.93835210738143,-3.85348568225642
St. Martin (French part),,,,,,,,,,
Morocco,2875.25798516781,2896.72219562665,3035.45443323105,3226.98279356862,3235.00066048238,3.10311140049744,-0.286660319841573,2.90184502007737,1.84461699689066,1.3403970411036
Monaco,165989.505113832,170028.655717864,167517.059727856,185978.609251356,189487.14712838,3.74320229702543,2.50861203477268,-4.31031468353824,5.16191339520333,6.12377017891215
Moldova,2732.45711293733,2880.43928129296,3509.69345025814,4230.3630367862,4491.6888269382,0.45004942257944,5.61462069937306,6.4771604801543,6.10943256779568,5.36569849707125
Madagascar,467.235431614667,475.955556826336,515.293323373233,523.94597141966,522.989524271408,0.390866453574574,1.23486640431807,1.185080524299,0.476010182448789,1.67412016147502
Maldives,9033.41027034576,9209.44356385479,9577.34694587865,10279.0799751619,10561.6135113508,-1.6151832384764,1.73348691527349,2.69752962995781,4.07540942819782,3.81320120539183
Middle East & North Africa,7269.49591644088,7161.03313706404,7309.14272039007,7502.17678838347,7458.02273649403,0.493519688660868,2.70410932848635,-0.110669726332731,-0.259058785017615,-0.552339316845334
